arrival_time,departure_time,drop_off_type,pickup_type,shape_dist_traveled,stop_headsign,stop_id,stop_sequence,timepoint,trip_id
08:05:00,08:05:00,0,0,,,637,1,1,100E-1-1,
09:35:00,09:35:00,0,0,,,637,1,1,100E-1-2,
11:25:00,11:25:00,0,0,,,637,1,1,100E-1-3,
12:50:00,12:50:00,0,0,,,637,1,1,100E-1-4,
15:45:00,15:45:00,0,0,,,637,1,1,100E-1-5,
16:05:00,16:05:00,0,0,,,637,1,1,100E-1-6,
19:10:00,19:10:00,0,0,,,637,1,1,100E-1-7,
07:25:00,07:25:00,0,0,,,2299,1,1,104-1-8,
07:35:00,07:35:00,0,0,,,2299,1,1,104-1-9,
07:50:00,07:50:00,0,0,,,2299,1,1,104-1-10,
08:25:00,08:25:00,0,0,,,2299,1,1,104-1-11,
08:50:00,08:50:00,0,0,,,2299,1,1,104-1-12,
09:25:00,09:25:00,0,0,,,2299,1,1,104-1-13,
09:50:00,09:50:00,0,0,,,2299,1,1,104-1-14,
10:25:00,10:25:00,0,0,,,2299,1,1,104-1-15,
10:50:00,10:50:00,0,0,,,2299,1,1,104-1-16,
12:00:00,12:00:00,0,0,,,2299,1,1,104-1-18,
11:50:00,11:50:00,0,0,,,2299,1,1,104-1-17,
13:00:00,13:00:00,0,0,,,2299,1,1,104-1-20,
12:50:00,12:50:00,0,0,,,2299,1,1,104-1-19,
14:50:00,14:50:00,0,0,,,2299,1,1,104-1-22,
13:55:00,13:55:00,0,0,,,2299,1,1,104-1-21,
15:50:00,15:50:00,0,0,,,2299,1,1,104-1-24,
15:00:00,15:00:00,0,0,,,2299,1,1,104-1-23,
16:50:00,16:50:00,0,0,,,2299,1,1,104-1-26,
16:00:00,16:00:00,0,0,,,2299,1,1,104-1-25,
17:50:00,17:50:00,0,0,,,2299,1,1,104-1-28,
17:15:00,17:15:00,0,0,,,2299,1,1,104-1-27,
19:15:00,19:15:00,0,0,,,2299,1,1,104-1-30,
18:15:00,18:15:00,0,0,,,2299,1,1,104-1-29,
19:40:00,19:40:00,0,0,,,2299,1,1,104-1-32,
19:25:00,19:25:00,0,0,,,2299,1,1,104-1-31,
20:40:00,20:40:00,0,0,,,2299,1,1,104-1-35,
21:15:00,21:15:00,0,0,,,2299,1,1,104-1-36,
20:15:00,20:15:00,0,0,,,2299,1,1,104-1-33,
20:25:00,20:25:00,0,0,,,2299,1,1,104-1-34,
09:30:00,09:30:00,0,0,,,2489,1,1,108-1-39,
11:05:00,11:05:00,0,0,,,2489,1,1,108-1-40,
21:25:00,21:25:00,0,0,,,2299,1,1,104-1-37,
07:45:00,07:45:00,0,0,,,2489,1,1,108-1-38,
18:30:00,18:30:00,0,0,,,2489,1,1,108-1-43,
20:10:00,20:10:00,0,0,,,2489,1,1,108-1-44,
14:50:00,14:50:00,0,0,,,2489,1,1,108-1-41,
16:30:00,16:30:00,0,0,,,2489,1,1,108-1-42,
06:40:00,06:40:00,0,0,,,2489,1,1,111-1-47,
07:20:00,07:20:00,0,0,,,2489,1,1,111-1-48,
22:10:00,22:10:00,0,0,,,2489,1,1,108-1-45,
06:20:00,06:20:00,0,0,,,2489,1,1,111-1-46,
08:50:00,08:50:00,0,0,,,2489,1,1,111-1-52,
08:35:00,08:35:00,0,0,,,2489,1,1,111-1-51,
08:30:00,08:30:00,0,0,,,2489,1,1,111-1-50,
07:55:00,07:55:00,0,0,,,2489,1,1,111-1-49,
10:30:00,10:30:00,0,0,,,2489,1,1,111-1-56,
10:20:00,10:20:00,0,0,,,2489,1,1,111-1-55,
10:05:00,10:05:00,0,0,,,2489,1,1,111-1-54,
09:35:00,09:35:00,0,0,,,2489,1,1,111-1-53,
12:15:00,12:15:00,0,0,,,2489,1,1,111-1-60,
11:40:00,11:40:00,0,0,,,2489,1,1,111-1-59,
11:35:00,11:35:00,0,0,,,2489,1,1,111-1-58,
10:45:00,10:45:00,0,0,,,2489,1,1,111-1-57,
15:05:00,15:05:00,0,0,,,2489,1,1,111-1-64,
14:55:00,14:55:00,0,0,,,2489,1,1,111-1-63,
13:55:00,13:55:00,0,0,,,2489,1,1,111-1-62,
