location_type,parent_station,stop_code,stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_timezone,stop_url,wheelchair_boarding,zone_id
,,,"",3280,13.0102899391,77.5839466788,"Palace Ground",,,,,
,,,"",3282,12.9679567997,77.59154125772,"Pallavi Talkies",,,,,
,,,"",3281,13.1168614208569,77.6083756888998,"Palanahalli Gate",,,,,
,,,"",3284,13.2087260133248,77.5010102070151,"PALYA CROSS",,,,,
,,,"",3283,12.96779334,77.59094079,"Pallavi Theatre",,,,,
,,,"",3286,13.2214388131573,77.6817632387832,"Palya Gate Devanahalli",,,,,
,,,"",3285,13.221369,77.682224,"Palya Gate",,,,,
,,,"",3288,12.9364796304737,77.7037220554744,"Panathuru",,,,,
,,,"",3287,12.93562,77.70608,"Panathur",,,,,
,,,"",3278,12.91696,77.55939,"Padmanabhanagara Circle",,,,,
,,,"",531,12.837437802863,77.7849760557899,"Billapura",,,,,
,,,"",3279,12.896391,77.548255,"Paduka mandira",,,,,
,,,"",530,13.152718,77.639079,"Billamaranahalli",,,,,
,,,"",2951,12.7564486116,77.5284182467,"Mukkodlu",,,,,
,,,"",2950,12.92863,77.53656,"Mukambika Nagar",,,,,
,,,"",535,13.1352652047284,77.8559693200105,"BIMAKANAHALLI",,,,,
,,,"",1821,13.0471996774142,77.8572442424076,"JADIGENAHALLI HOSPITAL",,,,,
,,,"",2953,12.90448270514,77.7245557788728,"Mullur",,,,,
,,,"",534,12.822514,77.572508,"bilwaradahalli cross",,,,,
,,,"",1822,12.890989288908,77.4551391333568,"Jagadale Factory",,,,,
,,,"",2952,12.9070292157228,77.4259884174291,"MUKTHINAGA TEMPLE CROSS",,,,,
,,,"",533,12.836081202926,77.5766903834973,"Bilwarada Halli",,,,,
,,,"",2955,12.861288269082,77.7323076942429,"Muneshawara Temple",,,,,
,,,"",532,13.203919528091,77.4989979004301,"BILVA I.T.I.COLLEGE",,,,,
,,,"",1820,13.052554392146,77.853761083277,"JADIGENAHALLI",,,,,
,,,"",2954,12.95156,77.6997,"Multiplex Marathahalli",,,,,
,,,"",539,12.9703122636887,77.5462341448938,"Binni Layout",,,,,
,,,"",1825,12.9646651447,77.5549010374,"Jagajeevanram Nagara",,,,,
,,,"",2957,13.0181535316902,77.6718515332859,"Muneshwara Layout",,,,,
