Train_id,Train_name,Train_no,Source,Destitnation,Date,Distance(Km),Sc_arr__time,Act_arr_time,Dealy_min,Season,Run_frequency
E1,Begampura Express,12238,Varanasi,Jammu,01-01-2016 00:00,1260,06:30:00,07:45:00,01:15:00,Winter,Daliy
E2,Begampura Express,12238,Varanasi,Jammu,01-01-2017 00:00,1260,06:30:00,06:50:00,00:20:00,Winter,Daliy
E3,Begampura Express,12238,Varanasi,Jammu,01-01-2018 00:00,1260,06:30:00,08:00:00,01:30:00,Winter,Daliy
E4,Begampura Express,12238,Varanasi,Jammu,01-01-2019 00:00,1260,06:30:00,06:40:00,00:10:00,Winter,Daliy
E5,Begampura Express,12238,Varanasi,Jammu,01-01-2020 00:00,1260,06:30:00,07:00:00,00:30:00,Winter,Daliy
E6,Begampura Express,12238,Varanasi,Jammu,07-01-2021 00:00,1260,06:30:00,06:35:00,00:05:00,Winter,Daliy
E7,Begampura Express,12238,Varanasi,Jammu,01-01-2022 00:00,1260,06:30:00,07:10:00,00:40:00,Winter,Daliy
E8,Begampura Express,12238,Varanasi,Jammu,01-01-2023 00:00,1260,06:30:00,08:00:00,01:30:00,Winter,Daliy
E9,Begampura Express,12238,Varanasi,Jammu,01-01-2024 00:00,1260,06:30:00,06:45:00,00:15:00,Winter,Daliy
E10,Begampura Express,12238,Varanasi,Jammu,01-01-2025 00:00,1260,06:30:00,07:20:00,00:50:00,Winter,Daliy
G1,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,02-01-2016 00:00,1754,10:00:00,11:20:00,01:20:00,Winter,Weekly
G2,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,07-01-2017 00:00,1754,10:00:00,10:45:00,00:45:00,Winter,Weekly
G3,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,06-01-2018 00:00,1754,10:00:00,10:30:00,00:30:00,Winter,Weekly
G4,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,05-01-2019 00:00,1754,10:00:00,10:10:00,00:10:00,Winter,Weekly
G5,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,04-01-2020 00:00,1754,10:00:00,10:20:00,00:20:00,Winter,Weekly
G6,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,02-01-2021 00:00,1754,10:00:00,10:10:00,00:10:00,Winter,Weekly
G7,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,01-01-2022 00:00,1754,10:00:00,12:00:00,02:00:00,Winter,Weekly
G8,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,07-01-2023 00:00,1754,10:00:00,11:00:00,01:00:00,Winter,Weekly
G9,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,06-01-2024 00:00,1754,10:00:00,10:35:00,00:35:00,Winter,Weekly
G10,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,04-01-2025 00:00,1754,10:00:00,11:15:00,01:15:00,Winter,Weekly
R1,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2016 00:00,1450,10:00:00,10:20:00,00:20:00,Winter,Daliy
R2,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2017 00:00,1450,10:00:00,10:40:00,00:40:00,Winter,Daliy
R3,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2018 00:00,1450,10:00:00,11:10:00,01:10:00,Winter,Daliy
R4,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2019 00:00,1450,10:00:00,10:05:00,00:05:00,Winter,Daliy
R5,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2020 00:00,1450,10:00:00,10:30:00,00:30:00,Winter,Daliy
R6,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2021 00:00,1450,10:00:00,10:50:00,00:50:00,Winter,Daliy
R7,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2022 00:00,1450,10:00:00,11:15:00,01:15:00,Winter,Daliy
R8,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2023 00:00,1450,10:00:00,10:10:00,00:10:00,Winter,Daliy
R9,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2024 00:00,1450,10:00:00,11:00:00,01:00:00,Winter,Daliy
R10,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2025 00:00,1450,10:00:00,10:25:00,00:25:00,Winter,Daliy
 C1,Chennai Express,12604,Mumbai,Chennai ,01-01-2016 00:00,1284,09:00:00,09:20:00,00:20:00,Winter,Daliy
 C2,Chennai Express,12604,Mumbai,Chennai ,01-01-2017 00:00,1284,09:00:00,09:45:00,00:45:00,Winter,Daliy
 C3,Chennai Express,12604,Mumbai,Chennai ,01-01-2018 00:00,1284,09:00:00,09:10:00,00:10:00,Winter,Daliy
 C4,Chennai Express,12604,Mumbai,Chennai ,01-01-2019 00:00,1284,09:00:00,09:25:00,00:25:00,Winter,Daliy
 C5,Chennai Express,12604,Mumbai,Chennai ,01-01-2020 00:00,1284,09:00:00,09:50:00,00:50:00,Winter,Daliy
 C6,Chennai Express,12604,Mumbai,Chennai ,01-01-2021 00:00,1284,09:00:00,09:30:00,00:30:00,Winter,Daliy
 C7,Chennai Express,12604,Mumbai,Chennai ,01-01-2022 00:00,1284,09:00:00,10:15:00,01:15:00,Winter,Daliy
 C8,Chennai Express,12604,Mumbai,Chennai ,01-01-2023 00:00,1284,09:00:00,10:15:00,01:15:00,Winter,Daliy
 C9,Chennai Express,12604,Mumbai,Chennai ,01-01-2024 00:00,1284,09:00:00,09:05:00,00:05:00,Winter,Daliy
 C10,Chennai Express,12604,Mumbai,Chennai ,01-01-2025 00:00,1284,09:00:00,09:40:00,00:40:00,Winter,Daliy
